"MFW","distance","culling","centroid"
40,"dist.argamon",100,FALSE
50,"dist.argamon",100,FALSE
60,"dist.argamon",100,FALSE
70,"dist.argamon",100,FALSE
80,"dist.argamon",100,FALSE
90,"dist.argamon",100,FALSE
100,"dist.argamon",100,FALSE
110,"dist.argamon",100,FALSE
120,"dist.argamon",100,FALSE
130,"dist.argamon",100,FALSE
140,"dist.argamon",100,FALSE
150,"dist.argamon",100,FALSE
160,"dist.argamon",100,FALSE
170,"dist.argamon",100,FALSE
180,"dist.argamon",100,FALSE
190,"dist.argamon",100,FALSE
200,"dist.argamon",100,FALSE
210,"dist.argamon",100,FALSE
220,"dist.argamon",100,FALSE
230,"dist.argamon",100,FALSE
240,"dist.argamon",100,FALSE
250,"dist.argamon",100,FALSE
260,"dist.argamon",100,FALSE
270,"dist.argamon",100,FALSE
280,"dist.argamon",100,FALSE
290,"dist.argamon",100,FALSE
300,"dist.argamon",100,FALSE
10,"dist.cosine",100,FALSE
20,"dist.cosine",100,FALSE
30,"dist.cosine",100,FALSE
40,"dist.cosine",100,FALSE
50,"dist.cosine",100,FALSE
60,"dist.cosine",100,FALSE
70,"dist.cosine",100,FALSE
80,"dist.cosine",100,FALSE
90,"dist.cosine",100,FALSE
100,"dist.cosine",100,FALSE
110,"dist.cosine",100,FALSE
120,"dist.cosine",100,FALSE
130,"dist.cosine",100,FALSE
140,"dist.cosine",100,FALSE
150,"dist.cosine",100,FALSE
160,"dist.cosine",100,FALSE
170,"dist.cosine",100,FALSE
180,"dist.cosine",100,FALSE
190,"dist.cosine",100,FALSE
200,"dist.cosine",100,FALSE
210,"dist.cosine",100,FALSE
220,"dist.cosine",100,FALSE
230,"dist.cosine",100,FALSE
240,"dist.cosine",100,FALSE
250,"dist.cosine",100,FALSE
260,"dist.cosine",100,FALSE
270,"dist.cosine",100,FALSE
280,"dist.cosine",100,FALSE
290,"dist.cosine",100,FALSE
300,"dist.cosine",100,FALSE
10,"dist.entropy",100,FALSE
